timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1557479274274,0,JUnit Request,1000,Test successful,Thread Group 1-490,text,true,,0,0,1,1,null,0,0,0
1557479274274,0,JUnit Request,1000,Test successful,Thread Group 1-472,text,true,,0,0,1,1,null,0,0,0
1557479274278,0,JUnit Request,1000,Test successful,Thread Group 1-469,text,true,,0,0,1,1,null,0,0,0
1557479274280,0,JUnit Request,1000,Test successful,Thread Group 1-492,text,true,,0,0,1,1,null,0,0,0
1557479274281,0,JUnit Request,1000,Test successful,Thread Group 1-475,text,true,,0,0,1,1,null,0,0,0
1557479274281,0,JUnit Request,1000,Test successful,Thread Group 1-494,text,true,,0,0,1,1,null,0,0,0
1557479274282,0,JUnit Request,1000,Test successful,Thread Group 1-495,text,true,,0,0,1,1,null,0,0,0
1557479274285,0,JUnit Request,1000,Test successful,Thread Group 1-496,text,true,,0,0,2,2,null,0,0,0
1557479274285,0,JUnit Request,1000,Test successful,Thread Group 1-473,text,true,,0,0,1,1,null,0,0,0
1557479274290,0,JUnit Request,1000,Test successful,Thread Group 1-478,text,true,,0,0,1,1,null,0,0,0
1557479274292,0,JUnit Request,1000,Test successful,Thread Group 1-477,text,true,,0,0,1,1,null,0,0,0
1557479274300,0,JUnit Request,1000,Test successful,Thread Group 1-482,text,true,,0,0,1,1,null,0,0,0
1557479274301,0,JUnit Request,1000,Test successful,Thread Group 1-481,text,true,,0,0,1,1,null,0,0,0
1557479274308,0,JUnit Request,1000,Test successful,Thread Group 1-486,text,true,,0,0,1,1,null,0,0,0
1557479274308,0,JUnit Request,1000,Test successful,Thread Group 1-485,text,true,,0,0,2,2,null,0,0,0
1557479274314,0,JUnit Request,1000,Test successful,Thread Group 1-489,text,true,,0,0,1,1,null,0,0,0
1557479274315,0,JUnit Request,1000,Test successful,Thread Group 1-491,text,true,,0,0,1,1,null,0,0,0
1557479274321,0,JUnit Request,1000,Test successful,Thread Group 1-493,text,true,,0,0,2,2,null,0,0,0
1557479274321,0,JUnit Request,1000,Test successful,Thread Group 1-499,text,true,,0,0,2,2,null,0,0,0
1557479274324,0,JUnit Request,1000,Test successful,Thread Group 1-500,text,true,,0,0,1,1,null,0,0,0
1557479274329,0,JUnit Request,1000,Test successful,Thread Group 1-497,text,true,,0,0,1,1,null,0,0,0
1557479274331,0,JUnit Request,1000,Test successful,Thread Group 1-498,text,true,,0,0,1,1,null,0,0,0
